zona_inyeccion,zona_extraccion,capacidad_base_firme,uso_base_firme,capacidad_base_firme_temporal,uso_base_firme_temporal,capacidad_base_interrumpible,uso_base_interrumpible,volumetrica,fecha_inicio,fecha_fin,,,Precio Total
Sur,Istmo,10.22524,0.05926,10.28429,0.05926,10.18398,0.05926,11.6545,1/5/2016,30/06/2016,,,119.1700596
Occidente,Sur,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Occidente,Centro,8.84718,0.04573,8.89305,0.04573,8.80542,0.04573,9.67653,1/5/2016,30/06/2016,,,85.61000269
Occidente,Occidente,4.98862,0.01552,5.00415,0.01552,4.95471,0.01552,5.45716,1/5/2016,30/06/2016,,,27.22369752
Occidente,Golfo,13.52996,0.07324,13.60384,0.07324,13.47032,0.07324,14.7981,1/5/2016,30/06/2016,,,200.2177011
Occidente,Norte,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Occidente,Istmo,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Golfo,Sur,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Golfo,Centro,10.00515,0.05772,10.06351,0.05772,9.96494,0.05772,10.94267,1/5/2016,30/06/2016,,,109.4830548
Golfo,Occidente,13.52996,0.07324,13.60384,0.07324,13.47032,0.07324,14.7981,1/5/2016,30/06/2016,,,200.2177011
Golfo,Golfo,6.14659,0.02751,6.17461,0.02751,6.11422,0.02751,6.7233,1/5/2016,30/06/2016,,,41.32536855
Golfo,Norte,12.43947,0.07211,12.51184,0.07211,12.38868,0.07211,13.60313,1/5/2016,30/06/2016,,,169.2157275
Golfo,Istmo,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Norte,Sur,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Norte,Centro,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Norte,Occidente,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Norte,Golfo,12.43947,0.07211,12.51184,0.07211,12.38868,0.07211,13.60313,1/5/2016,30/06/2016,,,169.2157275
Norte,Norte,7.7567,0.0446,7.80105,0.0446,7.72379,0.0446,8.48156,1/5/2016,30/06/2016,,,65.78891645
Norte,Istmo,0,0,0,0,0,0,0,1/5/2016,30/06/2016,,,0
Sur,Sur,3.3544,0.01585,3.37028,0.01585,3.33713,0.01585,3.66854,1/7/2016,30/09/2016,,,12.30575058
Sur,Centro,11.89574,0.07357,11.96997,0.07357,11.85274,0.07357,13.00948,1/7/2016,30/09/2016,,,154.7573916
Sur,Occidente,15.42054,0.08909,15.51029,0.08909,15.35812,0.08909,16.8649,1/7/2016,30/09/2016,,,260.065865
Sur,Golfo,8.03718,0.04336,8.08106,0.04336,8.00202,0.04336,8.79011,1/7/2016,30/09/2016,,,70.64769629
Sur,Norte,14.33005,0.08796,14.41829,0.08796,14.27648,0.08796,15.66994,1/7/2016,30/09/2016,,,224.5510237
Sur,Istmo,9.9878,0.05926,10.04685,0.05926,9.94889,0.05926,11.39469,1/7/2016,30/09/2016,,,113.8078848
Occidente,Sur,0,0,0,0,0,0,0,1/7/2016,30/09/2016,,,0
Occidente,Centro,8.60974,0.04573,8.65561,0.04573,8.57033,0.04573,9.41672,1/7/2016,30/09/2016,,,81.07551085
Occidente,Occidente,4.75118,0.01552,4.76671,0.01552,4.71962,0.01552,5.19735,1/7/2016,30/09/2016,,,24.69354537
Occidente,Golfo,13.29252,0.07324,13.3664,0.07324,13.23523,0.07324,14.53829,1/7/2016,30/09/2016,,,193.2505106
